45.8134 	EXP 	fixation: autoDraw = False
45.8134 	EXP 	grating: autoDraw = False
45.8134 	EXP 	grating: ori = 10.0
45.8134 	EXP 	fixation: autoDraw = True
46.3136 	EXP 	fixation: autoDraw = False
46.3136 	EXP 	grating: autoDraw = True
46.6135 	EXP 	grating: autoDraw = False
46.7871 	DATA 	Keypress: left
46.7970 	EXP 	fixation: autoDraw = False
46.7970 	EXP 	grating: autoDraw = False
46.7970 	EXP 	grating: ori = 10.0
46.7970 	EXP 	fixation: autoDraw = True
47.2965 	EXP 	fixation: autoDraw = False
47.2965 	EXP 	grating: autoDraw = True
47.5971 	EXP 	grating: autoDraw = False
47.7523 	DATA 	Keypress: right
47.7654 	EXP 	fixation: autoDraw = False
47.7654 	EXP 	grating: autoDraw = False
47.7654 	EXP 	grating: ori = 10.0
47.7654 	EXP 	fixation: autoDraw = True
48.2632 	EXP 	grating: autoDraw = True
48.2796 	EXP 	fixation: autoDraw = False
48.5632 	EXP 	grating: autoDraw = False
49.4359 	DATA 	Keypress: right
49.4461 	EXP 	fixation: autoDraw = False
49.4461 	EXP 	grating: autoDraw = False
49.4461 	EXP 	grating: ori = 10.0
49.4461 	EXP 	fixation: autoDraw = True
49.9467 	EXP 	fixation: autoDraw = False
49.9467 	EXP 	grating: autoDraw = True
50.2473 	EXP 	grating: autoDraw = False
50.8489 	DATA 	Keypress: right
50.8792 	EXP 	fixation: autoDraw = False
50.8792 	EXP 	grating: autoDraw = False
50.8792 	EXP 	grating: ori = 10.0
50.8792 	EXP 	fixation: autoDraw = True
51.3792 	EXP 	fixation: autoDraw = False
51.3792 	EXP 	grating: autoDraw = True
51.6794 	EXP 	grating: autoDraw = False
51.8016 	DATA 	Keypress: right
51.8125 	EXP 	fixation: autoDraw = False
51.8125 	EXP 	grating: autoDraw = False
51.8125 	EXP 	grating: ori = 10.0
51.8125 	EXP 	fixation: autoDraw = True
52.3126 	EXP 	fixation: autoDraw = False
52.3126 	EXP 	grating: autoDraw = True
52.6126 	EXP 	grating: autoDraw = False
52.9512 	DATA 	Keypress: left
52.9622 	EXP 	fixation: autoDraw = False
52.9622 	EXP 	grating: autoDraw = False
52.9622 	EXP 	grating: ori = 10.0
52.9622 	EXP 	fixation: autoDraw = True
53.4624 	EXP 	fixation: autoDraw = False
53.4624 	EXP 	grating: autoDraw = True
53.7626 	EXP 	grating: autoDraw = False
53.8523 	DATA 	Keypress: right
53.8632 	EXP 	fixation: autoDraw = False
53.8632 	EXP 	grating: autoDraw = False
53.8632 	EXP 	grating: ori = 10.0
53.8632 	EXP 	fixation: autoDraw = True
54.3620 	EXP 	grating: autoDraw = True
54.3789 	EXP 	fixation: autoDraw = False
54.6622 	EXP 	grating: autoDraw = False
56.6344 	DATA 	Keypress: right
56.6451 	EXP 	fixation: autoDraw = False
56.6451 	EXP 	grating: autoDraw = False
56.6451 	EXP 	grating: ori = 10.0
56.6451 	EXP 	fixation: autoDraw = True
57.1451 	EXP 	fixation: autoDraw = False
57.1451 	EXP 	grating: autoDraw = True
57.4451 	EXP 	grating: autoDraw = False
58.1145 	DATA 	Keypress: left
58.1446 	EXP 	fixation: autoDraw = False
58.1446 	EXP 	grating: autoDraw = False
58.1446 	EXP 	grating: ori = 10.0
58.1446 	EXP 	fixation: autoDraw = True
58.6453 	EXP 	fixation: autoDraw = False
58.6453 	EXP 	grating: autoDraw = True
58.9446 	EXP 	grating: autoDraw = False
59.4831 	DATA 	Keypress: left
59.4940 	EXP 	fixation: autoDraw = False
59.4940 	EXP 	grating: autoDraw = False
59.4940 	EXP 	grating: ori = 10.0
59.4940 	EXP 	fixation: autoDraw = True
59.9944 	EXP 	fixation: autoDraw = False
59.9944 	EXP 	grating: autoDraw = True
60.0170 	DATA 	Keypress: right
60.0276 	EXP 	fixation: autoDraw = False
60.0276 	EXP 	grating: autoDraw = False
60.0276 	EXP 	grating: ori = 10.0
60.0276 	EXP 	fixation: autoDraw = True
60.5281 	EXP 	fixation: autoDraw = False
60.5281 	EXP 	grating: autoDraw = True
60.6001 	DATA 	Keypress: right
60.6107 	EXP 	fixation: autoDraw = False
60.6107 	EXP 	grating: autoDraw = False
60.6107 	EXP 	grating: ori = 10.0
60.6107 	EXP 	fixation: autoDraw = True
60.9315 	DATA 	Keypress: right
61.1112 	EXP 	fixation: autoDraw = False
61.1112 	EXP 	grating: autoDraw = True
61.2664 	DATA 	Keypress: right
61.2777 	EXP 	fixation: autoDraw = False
61.2777 	EXP 	grating: autoDraw = False
61.2777 	EXP 	grating: ori = 10.0
61.2777 	EXP 	fixation: autoDraw = True
61.5315 	DATA 	Keypress: right
61.7784 	EXP 	fixation: autoDraw = False
61.7784 	EXP 	grating: autoDraw = True
61.8197 	DATA 	Keypress: right
61.8277 	EXP 	fixation: autoDraw = False
61.8277 	EXP 	grating: autoDraw = False
61.8277 	EXP 	grating: ori = 10.0
61.8277 	EXP 	fixation: autoDraw = True
62.0643 	DATA 	Keypress: right
62.3273 	EXP 	fixation: autoDraw = False
62.3273 	EXP 	grating: autoDraw = True
62.3475 	DATA 	Keypress: right
62.3777 	EXP 	fixation: autoDraw = False
62.3777 	EXP 	grating: autoDraw = False
62.3777 	EXP 	grating: ori = 10.0
62.3777 	EXP 	fixation: autoDraw = True
62.6143 	DATA 	Keypress: right
